Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume, Code, Name
AAME,1,Atlantic American Corp.,Financial,Life Insurance,USA,84.77,8.84,4.03,1.26%,478,GOOG/NASDAQ_AAME,Atlantic American Corporation 
AAON,3,AAON Inc.,Industrial Goods,General Building Materials,USA,1091.6,33.01,29.85,0.47%,22256,GOOG/NASDAQ_AAON,AAON
AAPL,4,Apple Inc.,Consumer Goods,Electronic Equipment,USA,501799.75,14.0,545.86,-1.65%,7154303,GOOG/NASDAQ_AAPL,Apple Inc. 
AAWW,5,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other",USA,947.93,8.48,37.71,-0.05%,52895,GOOG/NASDAQ_AAWW,Atlas Air Worldwide Holdings
AAXJ,6,iShares MSCI All Country Asia ex Jpn Idx,Financial,Exchange Traded Fund,USA,2006.03,,59.14,-0.35%,133487,GOOG/NASDAQ_AAXJ,iShares MSCI Cntry Asa Jpn Idx Fnd ETF 
ABAX,7,Abaxis Inc.,Healthcare,Diagnostic Substances,USA,825.32,44.05,37.09,0.24%,8575,GOOG/NASDAQ_ABAX,Abaxis Inc 
ABCB,8,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,478.5,23.28,20.0,-0.10%,3265,GOOG/NASDAQ_ABCB,Ameris Bancorp 
ABCD,9,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,83.35,,1.71,-2.84%,1450,GOOG/NASDAQ_ABCD,Cambium Learning Group
ABCO,10,Advisory Board Co.,Services,Business Services,USA,2269.6,98.83,62.77,-0.76%,27751,GOOG/NASDAQ_ABCO,The Advisory Board Company 
ABFS,11,Arkansas Best Corporation,Services,Trucking,USA,855.76,,33.44,0.57%,68669,GOOG/NASDAQ_ABFS,Arkansas Best Corporation 
ABIO,12,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,17.12,,1.54,-2.53%,164254,GOOG/NASDAQ_ABIO,Arca Biopharma Inc 
ABMD,14,Abiomed Inc.,Healthcare,Medical Appliances & Equipment,USA,1037.25,188.71,26.5,0.30%,99467,GOOG/NASDAQ_ABMD,ABIOMED
ABTL,15,Autobytel Inc.,Technology,Internet Information Providers,USA,110.02,51.5,14.01,13.35%,353093,GOOG/NASDAQ_ABTL,Autobytel Inc. 
ACAD,16,"ACADIA Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2058.59,,22.86,-0.61%,183211,GOOG/NASDAQ_ACAD,ACADIA Pharmaceuticals Inc. 
ACAS,17,"American Capital, Ltd.",Financial,Asset Management,USA,4182.9,9.07,14.51,-0.62%,399033,GOOG/NASDAQ_ACAS,American Capital Ltd. 
ACAT,18,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,USA,712.57,17.64,53.96,1.31%,25676,GOOG/NASDAQ_ACAT,Arctic Cat Inc 
ACCL,19,Accelrys Inc.,Technology,Application Software,USA,519.31,,9.37,0.43%,13069,GOOG/NASDAQ_ACCL,Accelrys
ACET,20,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,USA,625.37,21.87,22.31,-0.98%,45343,GOOG/NASDAQ_ACET,Aceto Corporation 
ACFC,21,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks,USA,10.02,,4.03,0.75%,600,GOOG/NASDAQ_ACFC,Atlantic Coast Financial Corp 
ACFN,22,"Acorn Energy, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,64.04,,3.57,0.85%,24468,GOOG/NASDAQ_ACFN,Acorn Energy Inc 
ACGL,23,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,7478.12,14.43,57.04,0.30%,64564,GOOG/NASDAQ_ACGL,Arch Capital Group Ltd. 
ACHC,24,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,2325.86,64.56,47.88,3.01%,408146,GOOG/NASDAQ_ACHC,Acadia Healthcare Company Inc 
ACHN,25,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,291.88,,3.05,0.99%,280699,GOOG/NASDAQ_ACHN,Achillion Pharmaceuticals
ACIW,26,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,2459.79,39.79,62.73,-0.22%,29499,GOOG/NASDAQ_ACIW,ACI Worldwide Inc 
ACLS,27,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials,USA,245.42,,2.19,-2.67%,109235,GOOG/NASDAQ_ACLS,Axcelis Technologies Inc 
ACNB,28,ACNB Corp.,Financial,Regional - Southwest  Banks,USA,108.57,11.71,18.17,0.11%,216,GOOG/NASDAQ_ACNB,ACNB Corporation 
ACOR,29,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,1190.5,8.41,29.94,1.39%,113688,GOOG/NASDAQ_ACOR,Acorda Therapeutics Inc 
ACPW,30,Active Power Inc.,Industrial Goods,Diversified Machinery,USA,57.82,,2.99,0.00%,7679,GOOG/NASDAQ_ACPW,Active Power
ACRX,31,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,395.96,,9.38,-1.78%,94500,GOOG/NASDAQ_ACRX,AcelRx Pharmaceuticals Inc 
ACST,32,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,106.96,,1.21,-3.20%,117488,GOOG/NASDAQ_ACST,Acasti Pharma
ACTG,33,Acacia Research Corporation,Services,Research Services,USA,636.02,,13.25,0.68%,124655,GOOG/NASDAQ_ACTG,Acacia Research Corporation 
ACTS,34,"Actions Semiconductor Co., Ltd.",Technology,Semiconductor - Specialized,China,195.81,,2.87,0.70%,2850,GOOG/NASDAQ_ACTS,Actions Semiconductor Co.
ACUR,35,Acura Pharmaceuticals Inc.,Healthcare,Drug Delivery,USA,73.09,,1.56,1.30%,35916,GOOG/NASDAQ_ACUR,Acura Pharmaceuticals
ACWI,36,iShares MSCI ACWI Index,Financial,Exchange Traded Fund,USA,,,55.44,-0.45%,336009,GOOG/NASDAQ_ACWI,iShares MSCI ACWI Index Fund 
ACWX,37,iShares MSCI ACWI ex US Index,Financial,Exchange Traded Fund,USA,,,44.86,-0.60%,130495,GOOG/NASDAQ_ACWX,iShares MSCI ACWI ex US Index Fund 
ACXM,38,Acxiom Corporation,Technology,Information Technology Services,USA,2758.56,55.81,37.43,0.11%,72930,GOOG/NASDAQ_ACXM,Acxiom Corporation 
ADAT,39,Authentidate Holding Corp.,Technology,Healthcare Information Services,USA,46.19,,1.38,-6.76%,99632,GOOG/NASDAQ_ADAT,Authentidate Holding Corp. 
ADBE,40,Adobe Systems Inc.,Technology,Application Software,USA,28798.26,101.18,57.85,0.31%,962669,GOOG/NASDAQ_ADBE,Adobe Systems Incorporated 
