Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume, Code, Name
A,1,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,18658.47,26.84,57.17,1.42%,1317626,GOOG/NYSE_A,Agilent Technologies Inc. 
AA,2,"Alcoa, Inc.",Basic Materials,Aluminum,USA,10379.0,38.8,9.78,0.88%,7973310,GOOG/NYSE_AA,Alcoa Inc 
AADR,3,WCM/BNY Mellon Focused Growth ADR ETF,Financial,Exchange Traded Fund,USA,,,36.56,0.74%,580,GOOG/NYSE_AADR,WCM/BNY Mellon Focused Growth ADR ETF 
AAN,5,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,2203.12,16.45,28.4,-1.92%,303063,GOOG/NYSE_AAN,Aaron's
AAP,6,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,7890.14,19.58,107.43,-0.95%,308891,GOOG/NYSE_AAP,Advance Auto Parts
AAT,7,"American Assets Trust, Inc.",Financial,REIT - Office,USA,1249.06,627.4,31.67,0.96%,84112,GOOG/NYSE_AAT,American Assets Trust
AAV,8,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,713.94,,4.29,1.18%,5526,GOOG/NYSE_AAV,Advantage Oil &amp; Gas Ltd 
AB,9,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,1956.79,15.6,21.27,0.28%,126380,GOOG/NYSE_AB,AllianceBernstein Holding LP 
ABB,10,ABB Ltd.,Industrial Goods,Industrial Equipment & Components,Switzerland,57034.51,19.86,25.2,1.49%,484358,GOOG/NYSE_ABB,ABB Ltd 
ABBV,11,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,85271.7,18.82,53.08,-1.03%,2667436,GOOG/NYSE_ABBV,AbbVie Inc 
ABC,12,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,15751.19,32.55,68.43,0.12%,342026,GOOG/NYSE_ABC,AmerisourceBergen Corp. 
ABG,13,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1643.68,17.33,52.82,-1.34%,73466,GOOG/NYSE_ABG,Asbury Automotive Group
ABM,14,ABM Industries Inc.,Services,Business Services,USA,1505.63,20.0,27.5,0.36%,25190,GOOG/NYSE_ABM,ABM Industries
ABR,15,Arbor Realty Trust Inc.,Financial,REIT - Diversified,USA,283.69,21.23,6.53,-0.76%,18132,GOOG/NYSE_ABR,Arbor Realty Trust
ABT,16,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,56811.51,20.34,37.39,2.13%,3328747,GOOG/NYSE_ABT,Abbott Laboratories 
ABX,17,Barrick Gold Corporation,Basic Materials,Gold,Canada,17217.2,,17.21,0.06%,4967945,GOOG/NYSE_ABX,Barrick Gold Corporation 
ACC,18,American Campus Communities Inc.,Financial,REIT - Residential,USA,3402.24,85.45,32.71,0.74%,141090,GOOG/NYSE_ACC,American Campus Communities
ACCO,19,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,729.31,64.2,6.54,1.87%,121999,GOOG/NYSE_ACCO,ACCO Brands Corporation 
ACE,21,ACE Limited,Financial,Property & Casualty Insurance,Switzerland,33679.83,9.64,98.72,-0.08%,283364,GOOG/NYSE_ACE,ACE Limited 
ACG,22,"AllianceBernstein Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA,1710.1,39.11,7.06,0.29%,265851,GOOG/NYSE_ACG,AllianceBernstein Income Fund Inc. 
ACH,23,Aluminum Corporation Of China Limited,Basic Materials,Aluminum,China,4560.46,,8.58,1.78%,29459,GOOG/NYSE_ACH,Aluminum Corp. of China Limited 
ACI,24,Arch Coal Inc.,Basic Materials,Industrial Metals & Minerals,USA,865.41,,4.14,1.47%,2948491,GOOG/NYSE_ACI,Arch Coal Inc 
ACM,26,AECOM Technology Corporation,Services,Technical Services,USA,2729.04,11.8,27.88,0.14%,106047,GOOG/NYSE_ACM,AECOM Technology Corp 
ACMP,27,"Access Midstream Partners, L.P.",Basic Materials,Oil & Gas Refining & Marketing,USA,9083.35,42.87,50.28,-1.45%,88402,GOOG/NYSE_ACMP,Access Midstream Partners LP 
ACN,28,Accenture plc,Technology,Information Technology Services,Ireland,47529.9,15.01,75.58,2.14%,2045490,GOOG/NYSE_ACN,Accenture Plc 
ACO,29,Amcol International Corp.,Basic Materials,Industrial Metals & Minerals,USA,1028.84,45.2,31.46,-0.58%,18317,GOOG/NYSE_ACO,AMCOL International Corporation 
ACRE,30,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,131.58,11.1,12.88,0.00%,42183,GOOG/NYSE_ACRE,Ares Commercial Real Estate Corp 
ACT,31,Actavis plc,Healthcare,Drugs - Generic,USA,21185.42,,159.81,-0.05%,219918,GOOG/NYSE_ACT,Actavis Inc 
ACW,32,Accuride Corp.,Consumer Goods,Trucks & Other Vehicles,USA,170.84,,3.6,0.14%,50134,GOOG/NYSE_ACW,Accuride Corporation 
ADC,33,Agree Realty Corp.,Financial,Property Management,USA,369.14,21.06,28.11,-1.13%,27707,GOOG/NYSE_ADC,Agree Realty Corporation 
ADM,34,Archer Daniels Midland Company,Consumer Goods,Farm Products,USA,27418.28,18.6,41.82,0.82%,1360528,GOOG/NYSE_ADM,Archer Daniels Midland Company 
